file_path,file_name,file_size,modification_time,file_hash,vectorized,vectorized_date,vectorized_model,chunk_count,figure_count,has_figure_descriptions,document_structure
D:\Local_LLM\RHEA_Paper_DB\Papers\dislocation\baruffi2022screw.pdf,baruffi2022screw.pdf,1740423,2025-07-06T14:03:11.266714,dad7e9a48ec46c19e67df2d100dc3fcc,True,2025-07-14T12:55:03.452625,nomic-embed-text:latest,2,2,True,parent-child
D:\Local_LLM\RHEA_Paper_DB\Papers\dislocation\hu2025.pdf,hu2025.pdf,6961566,2025-07-06T13:56:37.504457,f4e304540212894fb4628b14d308a0d2,True,2025-07-14T12:55:59.887464,nomic-embed-text:latest,2,5,True,parent-child
D:\Local_LLM\RHEA_Paper_DB\Papers\dislocation\lee2021.pdf,lee2021.pdf,1654673,2025-07-06T14:01:11.506263,6c3e202505b7c1ca4c575f8769c04ec8,True,2025-07-14T12:56:40.215812,nomic-embed-text:latest,2,3,True,parent-child
D:\Local_LLM\RHEA_Paper_DB\Papers\dislocation\li2021.pdf,li2021.pdf,12688467,2025-07-06T13:56:57.004405,ebee34f9c5c46e60096bfb93ae3da524,True,2025-07-14T12:58:03.769177,nomic-embed-text:latest,2,7,True,parent-child
D:\Local_LLM\RHEA_Paper_DB\Papers\dislocation\liu2025improving.pdf,liu2025improving.pdf,21053098,2025-07-06T14:02:50.661386,9ee1ac987c87be6e6c2137d7c2d16c7c,True,2025-07-14T12:59:46.320997,nomic-embed-text:latest,2,9,True,parent-child
D:\Local_LLM\RHEA_Paper_DB\Papers\dislocation\Tseng2022.pdf,Tseng2022.pdf,12499803,2025-07-06T13:59:44.332694,3e8c13af6de185953e052e8676ff7e31,True,2025-07-14T12:59:59.159310,nomic-embed-text:latest,2,1,True,parent-child
D:\Local_LLM\RHEA_Paper_DB\Papers\dislocation\wang2025ductilization.pdf,wang2025ductilization.pdf,45479125,2025-07-06T14:03:57.732729,ac06fe50a83681e083836b11caea0352,True,2025-07-14T13:02:30.736642,nomic-embed-text:latest,2,14,True,parent-child
D:\Local_LLM\RHEA_Paper_DB\Papers\dislocation\wang2025enabling.pdf,wang2025enabling.pdf,22857509,2025-07-06T14:02:21.292997,d01387d3e73d41f54086d20c65e5ff28,True,2025-07-14T13:03:56.612915,nomic-embed-text:latest,2,8,True,parent-child
D:\Local_LLM\RHEA_Paper_DB\Papers\dislocation\xu2023bcc.pdf,xu2023bcc.pdf,15106003,2025-07-06T14:01:55.836362,d3dc1e3741dc4ebb5a7bb0c5690c0c7e,True,2025-07-14T13:04:53.223143,nomic-embed-text:latest,2,6,True,parent-child
D:\Local_LLM\RHEA_Paper_DB\Papers\grainBoundary\dou2024.pdf,dou2024.pdf,10763946,2025-07-10T14:17:13.450224,2f8d85106421f1b08bb2ed167b8de287,True,2025-07-14T13:05:57.336265,nomic-embed-text:latest,2,6,True,parent-child
